"행정구역","2025년10월_거주자 인구수","2025년10월_세대수","2025년10월_세대당 인구","2025년10월_남자 인구수","2025년10월_여자 인구수","2025년10월_남여 비율"
"경기도 시흥시 (4139000000)","512,465","227,750","          2.25","266,624","245,841","          1.08"
"경기도 시흥시 대야동(4139051000)","41,427","18,291","          2.26","20,806","20,621","          1.01"
"경기도 시흥시 신천동(4139052000)","32,517","15,965","          2.04","16,779","15,738","          1.07"
"경기도 시흥시 신현동(4139053100)","8,826","4,257","          2.07","4,655","4,171","          1.12"
"경기도 시흥시 은행동(4139054000)","55,235","21,241","          2.60","27,502","27,733","          0.99"
"경기도 시흥시 매화동(4139055000)","10,982","5,143","          2.14","5,799","5,183","          1.12"
"경기도 시흥시 목감동(4139057000)","40,719","17,271","          2.36","20,659","20,060","          1.03"
"경기도 시흥시 군자동(4139058100)","21,266","9,893","          2.15","11,044","10,222","          1.08"
"경기도 시흥시 월곶동(4139058200)","17,390","8,606","          2.02","9,075","8,315","          1.09"
"경기도 시흥시 정왕본동(4139058900)","17,069","11,580","          1.47","10,718","6,351","          1.69"
"경기도 시흥시 정왕1동(4139059100)","20,273","12,479","          1.62","12,047","8,226","          1.46"
"경기도 시흥시 정왕2동(4139059200)","26,473","11,041","          2.40","13,658","12,815","          1.07"
"경기도 시흥시 정왕3동(4139059300)","21,183","10,795","          1.96","12,137","9,046","          1.34"
"경기도 시흥시 정왕4동(4139059400)","19,383","7,334","          2.64","9,585","9,798","          0.98"
"경기도 시흥시 배곧1동(4139059600)","35,225","12,230","          2.88","17,610","17,615","          1.00"
"경기도 시흥시 배곧2동(4139059700)","35,275","15,538","          2.27","18,326","16,949","          1.08"
"경기도 시흥시 과림동(4139062100)","1,708","1,118","          1.53","1,049","659","          1.59"
"경기도 시흥시 연성동(4139063000)","23,565","9,692","          2.43","11,985","11,580","          1.03"
"경기도 시흥시 장곡동(4139063100)","46,747","18,099","          2.58","23,466","23,281","          1.01"
"경기도 시흥시 능곡동(4139064000)","26,101","10,974","          2.38","12,897","13,204","          0.98"
"경기도 시흥시 거북섬동(4139065000)","11,101","6,203","          1.79","6,827","4,274","          1.60"
