영화제목,개봉일,예매매출액,예매관람수
나혼자 프린스,2025-11-19,16.9,60329600
정보원,2025-12-03,11.6,51628100
윗집 사람들,2025-12-03,10.3,56185600
몬스타엑스 : 커넥트 엑스 인 시네마,2025-12-03,8.2,100025000
퍼스트 라이드,2025-10-29,7.2,30314700
포레스텔라 : 더 웨이브 인 시네마,2025-11-19,7.0,85750000
세계의 주인,2025-10-22,6.0,31303100
에이티즈 브이알 콘서트 : 라이트 더 웨이,2025-12-05,5.2,84150000
맨홀,2025-11-19,3.6,14275900
통잠,2025-11-19,3.4,9635600
너와 나의 5분,2025-11-05,2.3,9368500
한란,2025-11-26,1.9,8171300
제이홉 투어 ‘홉 온 더 스테이지’ 더 무비,2025-11-12,1.7,20150000
극장판 똘똘이: 아기공룡의 비밀,2025-11-07,1.2,5245100
힘,2025-11-27,0.9,4741000
보스,2025-10-03,0.8,2785000
고당도,2025-12-10,0.7,3608800
구원자,2025-11-05,0.6,2323500
헤어질 결심,2022-06-29,0.6,3377000
고양이를 부탁해,2001-10-12,0.5,2775000
투모로우바이투게더 브이알 콘서트 : 하트 어택,2025-10-10,0.5,7755000
마사이 크로스,2025-11-20,0.5,2571100
어쩔수가없다,2025-09-24,0.5,2521760
멀고도 가까운,2025-12-03,0.4,1962000
달팽이 농구단,2025-11-12,0.4,1475000
나비잠,2018-09-06,0.4,2418000
지드래곤 인 시네마 [위버맨쉬],2025-10-29,0.3,4250000
"거짓말, 뱀파이어가 어디 있어?",-,0.3,4920000
만남의 집,2025-10-15,0.3,1700000
용한 소녀,-,0.3,1674500
바로 지금 여기,2025-09-17,0.3,1200000
지구의 주인은 고양이다,-,0.3,1071200
프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,0.3,3358600
3670,2025-09-03,0.3,1336000
넌센스,2025-11-26,0.3,1797000
바람이 전하는 말,2025-11-05,0.3,1622000
전지적 독자 시점,2025-07-23,0.3,1736000
로보카폴리 사막 구조대 이야기,-,0.2,882500
콩나물,-,0.2,333000
나쁜 영화 감독판,-,0.2,876000
날개는 베개 밑에 숨겨두었어,-,0.2,840000
극장의 시간들,-,0.2,959000
지구를 지켜라,2003-04-04,0.2,804000
에스퍼의 빛,2025-11-05,0.1,714000
리코더 시험,-,0.1,203000
지금은맞고그때는틀리다,2015-09-24,0.1,759000
마더,2009-05-28,0.1,703000
사람과 고기,2025-10-07,0.1,533900
미망,2024-11-20,0.1,534000
제18회 스토리업쇼츠 섹션1. 남겨진 이들의 계절,-,0.1,506000
종이 울리는 순간,2025-11-12,0.1,609000
마루는 강쥐,-,0.1,408600
고갈 감독판,-,0.1,496000
엄마를 버리러 갑니다,2025-11-05,0.1,520900
다시 쓰는 희노애락,-,0.1,280000
제18회 스토리업쇼츠 섹션2. 불협화음의 시대,-,0.1,312000
반짝반짝 달님이,-,0.1,240000
나쁜계집애: 달려라 하니,2025-10-07,0.1,322000
양양,2025-10-22,0.1,249000
썬더버드,2022-09-21,0.1,270000
1980 사북,2025-10-29,0.1,204000
최초의 기억,2025-11-12,0.1,263000
초콜릿,2025-11-19,0.0,194600
직지루트; 테라 인코그니타,2025-11-12,0.0,190000
브레드이발소: 베이커리타운의 악당들,2025-09-27,0.0,138300
어쩌면 해피엔딩,2025-10-02,0.0,131000
WDN 섹션 1: 경험의 가장자리,-,0.0,140000
바얌섬,2025-10-29,0.0,115000
샤샤 & 마일로,-,0.0,88000
롤링스톤,-,0.0,120000
하얀 차를 탄 여자,2025-10-29,0.0,113000
3학년 2학기,2025-09-03,0.0,81000
제27회 부산독립영화제 메이드 인 부산 4,-,0.0,76000
WDN 섹션 2: 기억과 장소의 가장자리,-,0.0,90000
도돌이 언덕에 난기류,-,0.0,72000
제97회 작은영화영화제 - 떠나도 함께,-,0.0,45000
산산조각 난 해,-,0.0,45000
제27회 부산독립영화제 메이드 인 부산 3,-,0.0,64000
제27회 부산독립영화제 스펙트럼 부산-나우 2,-,0.0,60000
한 채,2024-11-20,0.0,69000
연의 편지,2025-10-01,0.0,58500
삼희 : The Adventure of 3 Joys,-,0.0,56000
부력,-,0.0,52000
10월의 어느 멋진 날에,-,0.0,48000
재민이,-,0.0,31000
"그래도, 사랑해.",-,0.0,38000
한국인을 관두는 법,-,0.0,32000
시네마 테러리스트,-,0.0,32000
일단발광,-,0.0,32000
제27회 부산독립영화제 스펙트럼 부산-나우 3,-,0.0,28000
동에 번쩍 서에 번쩍,2025-11-26,0.0,27000
손님,-,0.0,12000
홍이,2025-09-24,0.0,28000
"도토리 문화센터: Part1 고두리, 취미 지옥에 빠지다",-,0.0,26000
얼굴,2025-09-11,0.0,24400
트랜스-컨티넨탈-레일웨이,-,0.0,24000
옹기와 장인,-,0.0,20000
우리의 이름,-,0.0,21000
여름이 지나가면,2025-07-09,0.0,20000
망양 중복,-,0.0,16000
제27회 부산독립영화제 스펙트럼 부산-리와인드,-,0.0,16000
일과 날,2025-07-16,0.0,16000
생명의 은인,2025-11-05,0.0,15000
이로 인해 그대는 죽지 않을 것이다,-,0.0,14000
제 5회 2030 청년영화제 제 5회 사전제작지원2,-,0.0,14000
제 5회 2030 청년영화제 제 5회 사전제작지원1,-,0.0,14000
2025년 11월 수요단편극장,-,0.0,14000
제27회 부산독립영화제 특별상영 1,-,0.0,14000
인디스데이 11월 단편,-,0.0,11000
첫여름,-,0.0,8000
뼈,-,0.0,8000
디바 야누스,2025-10-22,0.0,5000
